name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
IARY,Open Yachts,8,4,5,"1 Master, 1 VIP, 1 Double, 1 Twin",33.77m / 110'10,Mangusta Mangusta,2015,27 Knots,7.18m / 23'7,1.7m / 5'7,195 GT,Mangusta 110 Mangusta 110,Stefano Righini,Mangusta,"€90,000 p/week + expenses Approx $103,500","€110,000 p/week + expenses Approx $127,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€90,000 p/week + expenses Approx $103,500","€110,000 p/week + expenses Approx $127,000","Mediterranean, France,, Monaco","Corsica, French Riviera","The 33.8m/110'11"" 'Iary' open yacht built by the Italian shipyard Mangusta is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
1K,Open Yachts,6,3,5,"1 Master, 1 Double, 1 Twin",33.48m / 109'10,Mangusta Mangusta,2013 | 2022 (Refitted),28 Knots,7.12m / 23'4,1.35m / 4'5,184 GT,Mangusta 108 Mangusta 108,Stefano Righini,,"€99,000 p/week + expenses Approx $116,000","€115,000 p/week + expenses Approx $134,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€99,000 p/week + expenses Approx $116,000","€115,000 p/week + expenses Approx $134,500",,,"The 33.48m/109'10"" '1K' open yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins.",
JFF,Open Yachts,8,3,5,"1 Master, 1 VIP, 1 Double, 1 Convertible",33.5m / 109'11,Mangusta Mangusta,2001 | 2015 (Refitted),28 Knots,7.1m / 23'4,1.5m / 4'11,181 GT,Mangusta 108 Mangusta 108,Stefano Righini,,"€62,500 p/week + expenses Approx $73,000","€62,500 p/week + expenses Approx $73,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","€62,500 p/week + expenses Approx $73,000","€62,500 p/week + expenses Approx $73,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","The 33.5m/109'11"" open yacht 'JFF' by the Italian shipyard Mangusta offers flexible accommodation for up to 8 guests in 3 cabins.",
LE MAGNIFIQUE,Open Yachts,8,,5,"1 Master, 1 VIP, 1 Double, 1 Convertible",33.5m / 109'11,Mangusta Mangusta,2003 | 2022 (Refitted),23 Knots,7.12m / 23'4,1.3m / 4'3,181 GT,Mangusta 108 Mangusta 108,Stefano Righini,Rodriguez Interiors,"€85,000 p/week + expenses Approx $100,500","€96,250 p/week + expenses Approx $114,000","Mediterranean, France,, Italy,, Monaco","French Riviera, Ibiza, Sardinia, The Balearics","€85,000 p/week + expenses Approx $100,500","€96,250 p/week + expenses Approx $114,000","Mediterranean, France,, Italy,, Monaco","French Riviera, Ibiza, Sardinia, The Balearics","The 33.5m/109'11"" 'Le Magnifique' open yacht built by the Italian shipyard Mangusta is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Rodriguez Interiors.",
SHELLONA,Open Yachts,9,4,5,,33.5m / 109'11,Mangusta Mangusta,2003 | 2020 (Refitted),28 Knots,7.12m / 23'4,1.3m / 4'3,181 GT,Mangusta 108 Mangusta 108,Stefano Righini,,"€60,000 p/week + expenses Approx $68,500","€70,000 p/week + expenses Approx $80,000",,,"€60,000 p/week + expenses Approx $68,500","€70,000 p/week + expenses Approx $80,000",,,"The 33.5m/109'11"" 'Shellona' open yacht built by the Italian shipyard Mangusta is available for charter for up to 9 guests in 4 cabins.",
TOTAL,Open Yachts,9,4,5,"1 Master, 1 VIP, 1 Double, 1 Twin, 2 Pullman",33.48m / 109'10,Mangusta Mangusta,2006 | 2022 (Refitted),20 Knots,7.12m / 23'4,1.29m / 4'3,181 GT,Mangusta 108 Mangusta 108,Stefano Righini,Guido de Groot Design,"$75,000 p/week + expenses","$80,000 p/week + expenses","Caribbean, Bahamas",,"$75,000 p/week + expenses","$80,000 p/week + expenses","Caribbean, Bahamas",,"The 33.2m/108'11"" 'Total' open yacht built by the Italian shipyard Mangusta is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Dutch designer Guido de Groot Design.",
BELISA,Open Yachts,10,4,3,"1 Master, 2 Double, 1 Quadruple",33m / 108'3,Mangusta Mangusta,2004 | 2021 (Refitted),25 Knots,7.12m / 23'4,1.5m / 4'11,163 GT,Mangusta 108 Mangusta 108,Stefano Righini,Mangusta,"€77,000 p/week + expenses Approx $88,000","€96,250 p/week + expenses Approx $110,000",,"Ibiza, Mallorca, The Balearics",,,,,"The 33.5m/109'11"" 'Belisa' open yacht built by the Italian shipyard Mangusta is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
CASINO ROYALE,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin",32.9m / 107'11,Sunseeker Sunseeker,2004 | 2016 (Refitted),22 Knots,6.3m / 20'8,1.6m / 5'3,142 GT,Predator 108 Predator 108,Sunseeker,Sunseeker,"€65,000 p/week + expenses Approx $74,000","€75,000 p/week + expenses Approx $85,500",,,"€65,000 p/week + expenses Approx $74,000","€75,000 p/week + expenses Approx $85,500",,,The 32.92m/108' open yacht 'Casino Royale' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Sunseeker.,
LADY B,Open Yachts,9,4,5,,33.5m / 109'11,Mangusta Mangusta,2004 | 2020 (Refitted),30 Knots,7.12m / 23'4,1.3m / 4'3,181 GT,Mangusta 108 Mangusta 108,Stefano Righini,,"€81,000 p/week + expenses Approx $92,500","€81,000 p/week + expenses Approx $92,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€81,000 p/week + expenses Approx $92,500","€81,000 p/week + expenses Approx $92,500",,,"The 33.5m/109'11"" 'Lady B' open yacht built by the Italian shipyard Mangusta is available for charter for up to 9 guests in 4 cabins.",
NEOPRENE,Open Yachts,10,4,5,"1 Master, 1 VIP, 1 Twin, 1 Single",32.92m / 108',Mangusta Mangusta,2002 | 2017 (Refitted),22 Knots,7.12m / 23'4,1.22m / 4',181 GT,Mangusta 108 Mangusta 108,Stefano Righini,Owner,"$109,000 p/week + expenses","$109,000 p/week + expenses",,,"$109,000 p/week + expenses","$109,000 p/week + expenses","Central America, Mexico",,"The 33.48m/109'10"" open yacht 'Neoprene' by the Italian shipyard Mangusta offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Owner.",
QUANTUM,Open Yachts,9,4,4,"1 Master, 1 VIP, 1 Twin, 1 Convertible",32.92m / 108',Sunseeker Sunseeker,2008 | 2024 (Refitted),25 Knots,6.3m / 20'8,1.6m / 5'3,139 GT,Predator 108 Predator 108,Sunseeker,Sunseeker,"€53,500 p/week + expenses Approx $62,000","€63,500 p/week + expenses Approx $73,500","Mediterranean, Croatia,, Montenegro",,"€45,000 p/week + expenses Approx $52,000","€45,000 p/week + expenses Approx $52,000","Mediterranean, Croatia,, Montenegro",,The 32.92m/108' 'Quantum' open yacht built by the British shipyard Sunseeker is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker.,
SKY FALL,Open Yachts,8,4,4,"1 Master, 1 VIP, 1 Twin, 1 Triple",32.92m / 108',Sunseeker Sunseeker,2007 | 2018 (Refitted),30 Knots,6.3m / 20'8,1.6m / 5'3,143 GT,Predator 108 Predator 108,Sunseeker,Sunseeker,"$55,000 p/week + expenses","$65,000 p/week + expenses","Caribbean, Bahamas",,"$55,000 p/week + expenses","$65,000 p/week + expenses","Caribbean, Bahamas",Florida,The 32.92m/108' 'Sky Fall' open yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker.,
LOVE BOAT,Open Yachts,9,4,9,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Pullman",32.2m / 105'8,Leopard Leopard,2006 | 2022 (Refitted),30 Knots,7.35m / 24'1,1.2m / 3'11,176 GT,Leopard 32 Leopard 32,Andrea Bacigalupo,Luxury Projects,"€70,000 p/week + expenses Approx $80,000","€79,500 p/week + expenses Approx $90,500","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","€70,000 p/week + expenses Approx $80,000","€79,500 p/week + expenses Approx $90,500","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","The 32.2m/105'8"" open yacht 'Love Boat' by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Luxury Projects.",
WHITE PEARL,Open Yachts,9,4,5,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Pullman",32.2m / 105'8,Leopard Leopard,2010,31 Knots,7.35m / 24'1,1.2m / 3'11,160 GT,Leopard 32 Leopard 32,Andrea Bacigalupo,,"€78,000 p/week + expenses Approx $89,000",POA,"Mediterranean, Croatia,, Montenegro,, Turkey",,,,,,"The 32.2m/105'8"" open yacht 'White Pearl' by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins.",
ALE.MIA,Open Yachts,10,5,5,"1 Master, 1 VIP, 3 Twin, 2 Pullman",32m / 105',Italcraft Italcraft,2009 | 2016 (Refitted),30 Knots,7.56m / 24'10,3.14m / 10'4,141 GT,Italcraft 105 Italcraft 105,,,"€59,500 p/week + expenses Approx $68,500","€59,500 p/week + expenses Approx $68,500","Mediterranean, Italy","Amalfi Coast, Sardinia","€59,500 p/week + expenses Approx $68,500","€59,500 p/week + expenses Approx $68,500","Mediterranean, Italy","Amalfi Coast, Sardinia",The 32m/105' open yacht 'Ale.Mia' by shipyard Italcraft offers flexible accommodation for up to 10 guests in 5 cabins.,
ANNELISE I,Open Yachts,11,5,4,,32m / 105',Leopard Leopard,2011 | 2023 (Refitted),28 Knots,7.35m / 24'1,1.2m / 3'11,176 GT,Leopard 32 Leopard 32,Andrea Bacigalupo,,"€69,000 p/week + expenses Approx $80,500","€86,000 p/week + expenses Approx $100,500","Mediterranean, Italy","Corsica, Sardinia","€66,000 p/week + expenses Approx $77,000","€66,000 p/week + expenses Approx $77,000",,,"The 32.2m/105'8"" open yacht 'Annelise I' by shipyard Leopard offers flexible accommodation for up to 11 guests in 5 cabins.",
DAYA,Open Yachts,10,4,3,,32m / 105',Mangusta Mangusta,2007 | 2024 (Refitted),24 Knots,6.93m / 22'9,1.52m / 5',167 GT,Mangusta 105 Mangusta 105,Stefano Righini,Mangusta,"$67,000 p/week + expenses","$67,000 p/week + expenses","Caribbean, Bahamas",,"$67,000 p/week + expenses","$67,000 p/week + expenses","Caribbean, Bahamas",,The 31.4m/103' open yacht 'Daya' by the Italian shipyard Mangusta offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Italian designer Mangusta.,
LADY MAIA,Open Yachts,8,3,4,"1 Master, 2 Convertible",32m / 105',Baglietto Baglietto,2004,27 Knots,7m / 23',1.2m / 3'11,140 GT,Ischia 105 Ischia 105,Francesco Paszkowski Design,Francesco Paszkowski Design,"€45,000 p/week + expenses Approx $51,500","€59,000 p/week + expenses Approx $67,500",,,"€45,000 p/week + expenses Approx $51,500","€59,000 p/week + expenses Approx $67,500",,,"The 31.92m/104'9"" open yacht 'Lady Maia' by the Italian shipyard Baglietto offers flexible accommodation for up to 8 guests in 3 cabins and features interior styling by Italian designer Francesco Paszkowski Design.",
LAUREN V,Open Yachts,9,4,4,"1 Master, 1 VIP, 2 Twin",32m / 105',Mangusta Mangusta,1999 | 2023 (Refitted),20 Knots,6.6m / 21'8,1.75m / 5'9,134 GT,Mangusta 105 Mangusta 105,Stefano Righini,,"€54,000 p/week + expenses Approx $61,500","€54,000 p/week + expenses Approx $61,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€54,000 p/week + expenses Approx $61,500","€54,000 p/week + expenses Approx $61,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey, Northern Europe, Finland,, Norway","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",The 31.4m/103' open yacht 'Lauren V' by the Italian shipyard Mangusta offers flexible accommodation for up to 9 guests in 4 cabins.,
O,Open Yachts,6,3,4,"1 Master, 1 Double, 1 Twin, 2 Pullman",32m / 105',Mangusta Mangusta,2006,28 Knots,6.93m / 22'9,1.3m / 4'3,167 GT,Mangusta 105 Mangusta 105,Stefano Righini,,"€75,000 p/week + expenses Approx $85,500","€85,000 p/week + expenses Approx $97,000","Mediterranean, Turkey",,"€75,000 p/week + expenses Approx $85,500","€75,000 p/week + expenses Approx $85,500","Mediterranean, Turkey",,The 31.4m/103' open yacht 'O' by the Italian shipyard Mangusta offers flexible accommodation for up to 6 guests in 3 cabins.,
SEA DIAMOND,Open Yachts,8,4,4,"1 Master, 1 Double, 2 Twin",32m / 105',Mangusta Mangusta,2002 | 2014 (Refitted),26 Knots,6.61m / 21'8,1.2m / 3'11,140 GT,Mangusta 105 Mangusta 105,Stefano Righini,,"€40,000 p/week + expenses Approx $45,500","€45,000 p/week + expenses Approx $51,500",,,"€40,000 p/week + expenses Approx $45,500","€45,000 p/week + expenses Approx $51,500",,,The 32m/105' 'Sea Diamond' open yacht built by the Italian shipyard Mangusta is available for charter for up to 8 guests in 4 cabins.,
STORM,Open Yachts,9,4,4,"1 Master, 2 Double, 1 Twin, 1 Pullman",32m / 105',Mangusta Mangusta,2005 | 2022 (Refitted),28 Knots,6.93m / 22'9,1.1m / 3'7,167 GT,Mangusta 105 Mangusta 105,Stefano Righini,Mangusta,"€66,000 p/week + expenses Approx $75,000","€66,000 p/week + expenses Approx $75,000","Mediterranean, Italy,, Monaco","Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€66,000 p/week + expenses Approx $75,000","€66,000 p/week + expenses Approx $75,000","Mediterranean, Italy,, Monaco","Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez",The 31.4m/103' 'Storm' open yacht built by the Italian shipyard Mangusta is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.,
MINA II,Open Yachts,8,4,4,"1 Master, 2 Double, 1 Twin, 1 Pullman",31.4m / 103',Mangusta Mangusta,1998,40 Knots,6.6m / 21'8,1.75m / 5'9,140 GT,Mangusta 105 Mangusta 105,Stefano Righini,,"€31,500 p/week + expenses Approx $36,000","€38,500 p/week + expenses Approx $44,000","Mediterranean, Turkey",,"€31,500 p/week + expenses Approx $36,000","€38,500 p/week + expenses Approx $44,000","Mediterranean, Turkey",,The 31.4m/103' open yacht 'Mina II' by the Italian shipyard Mangusta offers flexible accommodation for up to 8 guests in 4 cabins.,
DARK KNIGHT,Open Yachts,9,4,5,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Pullman",30.98m / 101'8,Leopard Leopard,2008 | 2023 (Refitted),26 Knots,6.95m / 22'10,1.22m / 4',149 GT,Leopard 31 Leopard 31,Andrea Bacigalupo,Arno,"€79,000 p/week + expenses Approx $90,000","€102,000 p/week + expenses Approx $116,500",,"Corsica, Ibiza, Mallorca, The Balearics","€79,000 p/week + expenses Approx $90,000","€102,000 p/week + expenses Approx $116,500",,"Ibiza, Mallorca, The Balearics","The 30.98m/101'8"" open yacht 'Dark Knight' by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Arno.",
ECLAT,Open Yachts,9,4,4,"1 Master, 2 Double, 1 Twin, 1 Pullman",31m / 101'8,Leopard Leopard,2008,25 Knots,6.95m / 22'10,1.22m / 4',149 GT,Leopard 31 Leopard 31,Andrea Bacigalupo,,"€60,000 p/week + expenses Approx $68,500","€60,000 p/week + expenses Approx $68,500","Mediterranean, France,, Italy,, Monaco","Calvi, Corsica, French Riviera, Sardinia","€60,000 p/week + expenses Approx $68,500","€60,000 p/week + expenses Approx $68,500","Mediterranean, France,, Italy,, Monaco","Calvi, Corsica, French Riviera, Sardinia","The 30.98m/101'8"" 'Eclat' (ex. Pan Dei) open yacht built by shipyard Leopard is available for charter for up to 9 guests in 4 cabins.",
JAJARO,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin",31m / 101'8,Tecnomar Tecnomar,2009 | 2014 (Refitted),22 Knots,6.8m / 22'4,1.7m / 5'7,130 GT,Tecnomar Velvet 100' Tecnomar Velvet 100',LUCA DINI Design & Architecture,LUCA DINI Design & Architecture,"€62,000 p/week + expenses Approx $70,500","€84,000 p/week + expenses Approx $96,000","Mediterranean, Italy","Corsica, Sardinia","€62,000 p/week + expenses Approx $70,500","€84,000 p/week + expenses Approx $96,000","Mediterranean, Italy","Corsica, Sardinia","The 31m/101'8"" open yacht 'JaJaRo' by the Italian shipyard Tecnomar offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer LUCA DINI Design & Architecture.",
LA ROMANA,Open Yachts,9,4,5,"1 Master, 1 VIP, 1 Double, 1 Twin, 1 Pullman",31m / 101'8,Leopard Leopard,2006 | 2024 (Refitted),26 Knots,6.95m / 22'10,1.22m / 4',149 GT,Leopard 31 Leopard 31,Andrea Bacigalupo,,"€95,000 p/week + expenses Approx $111,500","€102,000 p/week + expenses Approx $119,500",,"Ibiza, Mallorca, The Balearics","€95,000 p/week + expenses Approx $111,500","€102,000 p/week + expenses Approx $119,500",,"Ibiza, Mallorca, The Balearics","The 30.98m/101'8"" open yacht 'La Romana' (ex. Estel) by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins.",
VENTURE,Open Yachts,9,4,4,"1 Master, 2 Double, 1 Twin",31m / 101'8,Leopard Leopard,2007 | 2023 (Refitted),24 Knots,6.95m / 22'10,1.22m / 4',149 GT,Leopard 31 Leopard 31,Andrea Bacigalupo,"Rodriguez Interiors, Jan des Bouvrie","$84,000 p/week + expenses","$84,000 p/week + expenses",,"Florida, Miami","$84,000 p/week + expenses","$84,000 p/week + expenses",,"Florida, Miami","The 30.98m/101'8"" open yacht 'Venture' by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Rodriguez Interiors.",
WET PANTHER,Open Yachts,10,4,5,"1 Master, 1 VIP, 2 Twin",31m / 101'8,Mangusta Mangusta,2006 | 2014 (Refitted),25 Knots,6.93m / 22'9,1.1m / 3'7,134 GT,Mangusta 105 Mangusta 105,Stefano Righini,,"€50,000 p/week + expenses Approx $57,000","€55,000 p/week + expenses Approx $62,500","Mediterranean, Greece",Mykonos,"€52,000 p/week + expenses Approx $59,500","€52,000 p/week + expenses Approx $59,500","Mediterranean, Greece","Mykonos, Santorini",The 31.4m/103' open yacht 'Wet Panther' by the Italian shipyard Mangusta offers flexible accommodation for up to 10 guests in 4 cabins.,
MATZU,Open Yachts,10,4,5,"1 Master, 1 VIP, 2 Twin, 2 Pullman",30.78m / 101',Sunseeker Sunseeker,2014,24 Knots,7.32m / 24',2.44m / 8',140 GT,101 Sport Yacht 101 Sport Yacht,Sunseeker,Sunseeker,"$60,000 p/week + expenses","$65,000 p/week + expenses",,"Florida, Miami","$60,000 p/week + expenses","$65,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,The 30.78m/101' 'Matzu' open yacht built by the British shipyard Sunseeker is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker.,
CHARISMA,Open Yachts,8,4,4,"2 Double, 2 Twin",30m / 98'5,Mangusta Mangusta,1996 | 2016 (Refitted),24 Knots,5.9m / 19'4,1.58m / 5'2,134 GT,Mangusta 80 Open Mangusta 80 Open,Stefano Righini,Mangusta,,,,,,,,,The 24.38m/80' 'Charisma' open yacht built by the Italian shipyard Mangusta is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.,
THE SULTANS WAY 007,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin, 2 Pullman",30m / 98'5,Azimut Azimut,2007,18 Knots,7.1m / 23'4,1.34m / 4'5,152 GT,Azimut 103S Azimut 103S,Stefano Righini,Carlo Galeazzi,"€101,920 p/week + expenses Approx $116,000",POA,"Indian Ocean, Maldives",,"€101,920 p/week + expenses Approx $116,000",POA,"Indian Ocean, Maldives",,"The 30.91m/101'5"" 'The Sultans Way 007' open yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This award winning  yacht  features interior styling by Italian designer Carlo Galeazzi.",
M7,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin",29.22m / 95'10,Canados Canados,2024,36 Knots,6.3m / 20'8,1.4m / 4'7,115 GT,Gladiator 961 Speed Gladiator 961 Speed,Canados,Cristiano Gatto Design,"€75,000 p/week + expenses Approx $88,500","€85,000 p/week + expenses Approx $100,500","Mediterranean, France,, Monaco","Corsica, French Riviera","$85,000 p/week + expenses","$95,000 p/week + expenses","Caribbean, Bahamas",,"The 27.45m/90'1"" open yacht 'M7' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Canados  and featuring interior styling by Italian designer Cristiano Gatto Design she can comfortably accommodate up to 8 guests in 4 cabins.",
PRIVEE,Open Yachts,8,4,3,"1 Master, 1 VIP, 2 Twin",28.96m / 95',Sunseeker Sunseeker,2004 | 2018 (Refitted),25 Knots,6.3m / 20'8,1.19m / 3'11,110 GT,Custom,Don Shead Yacht Design,,"$40,000 p/week + expenses","$50,000 p/week + expenses",,Florida,"$40,000 p/week + expenses","$50,000 p/week + expenses",,Florida,The 28.96m/95' open yacht 'Privee' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins.,
UD30,Open Yachts,8,4,4,"1 Master, 1 Double, 2 Twin",28.96m / 95',Sunseeker Sunseeker,2003 | 2022 (Refitted),18 Knots,6.7m / 22',1.83m / 6',95 GT,Predator 95 Predator 95,Don Shead,Ken Freivokh,POA,POA,,Dubai,POA,POA,,Dubai,The 28.96m/95' 'UD30' open yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Ken Freivokh.,
SUN ANEMOS,Open Yachts,9,4,4,"1 Master, 1 VIP, 1 Double, 1 Twin",28.7m / 94'2,Couach Couach,2009,30 Knots,6.5m / 21'4,1.8m / 5'11,86 GT,Couach 2800 OPEN Couach 2800 OPEN,Guy Couach,"Franck Reynaud, Marie Couach","€42,000 p/week + expenses Approx $49,000","€45,000 p/week + expenses Approx $52,500","Mediterranean, Greece",Mykonos,"€42,000 p/week + expenses Approx $49,000","€42,000 p/week + expenses Approx $49,000","Mediterranean, Greece",Mykonos,"The 28.7m/94'2"" open yacht 'Sun Anemos' by shipyard Couach offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Franck Reynaud.",
DELHIA,Open Yachts,7,3,4,"1 Master, 1 VIP, 1 Double/Twin, 1 Pullman",28.27m / 92'9,Mangusta Mangusta,2003 | 2017 (Refitted),28 Knots,6.6m / 21'8,1m / 3'3,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€40,000 p/week + expenses Approx $45,500","€44,000 p/week + expenses Approx $50,000",,,"€40,000 p/week + expenses Approx $45,500","€44,000 p/week + expenses Approx $50,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 28.27m/92'9"" open yacht 'Delhia' by the Italian shipyard Mangusta offers flexible accommodation for up to 7 guests in 3 cabins and features interior styling by Italian designer Mangusta.",
ENZO,Open Yachts,9,4,4,"1 Master, 2 Double, 1 Twin, 1 Convertible, 1 Pullman",28.27m / 92'9,Mangusta Mangusta,2005,30 Knots,6.6m / 21'8,1.1m / 3'7,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€45,000 p/week + expenses Approx $51,500","€45,000 p/week + expenses Approx $51,500",,,"€45,000 p/week + expenses Approx $51,500","€45,000 p/week + expenses Approx $51,500",,,"The 28.27m/92'9"" open yacht 'Enzo' by the Italian shipyard Mangusta offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Mangusta.",
HOUDINI,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Double",28.27m / 92'9,Mangusta Mangusta,2007,39 Knots,6.6m / 21'8,1.1m / 3'7,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"$53,000 p/week + expenses","$60,000 p/week + expenses","Caribbean, Bahamas",Florida,"$53,000 p/week + expenses","$60,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 28.27m/92'9"" open yacht 'Houdini' by the Italian shipyard Mangusta offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Mangusta.",
KAWAI,Open Yachts,7,3,4,"1 Master, 1 Double, 1 Twin, 1 Pullman",28.3m / 92'10,Mangusta Mangusta,2010 | 2021 (Refitted),30 Knots,6.6m / 21'8,1.6m / 5'3,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€55,000 p/week + expenses Approx $65,000","€65,000 p/week + expenses Approx $77,000","Mediterranean, Italy","Amalfi Coast, Sardinia","€55,000 p/week + expenses Approx $65,000","€65,000 p/week + expenses Approx $77,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 28.27m/92'9"" 'Kawai' open yacht built by the Italian shipyard Mangusta is available for charter for up to 7 guests in 3 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
LA DIGUE,Open Yachts,9,4,3,"1 Master, 1 VIP, 1 Double, 1 Twin",28.3m / 92'10,Mangusta Mangusta,2007,28 Knots,6.6m / 21'8,1.74m / 5'9,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€50,000 p/week + expenses Approx $57,000","€50,000 p/week + expenses Approx $57,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€50,000 p/week + expenses Approx $57,000","€50,000 p/week + expenses Approx $57,000","Mediterranean, France,, Monaco","Corsica, French Riviera","The 28.3m/92'10"" open yacht 'La Digue' by the Italian shipyard Mangusta offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Mangusta.",
L'ESPERANCE,Open Yachts,7,3,3,"1 Master, 1 Double, 1 Twin, 1 Pullman",28.3m / 92'10,Mangusta Mangusta,2004 | 2021 (Refitted),23 Knots,6.6m / 21'8,1.5m / 4'11,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€67,200 p/week + expenses Approx $79,000","€76,300 p/week + expenses Approx $90,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","€61,600 p/week + expenses Approx $72,500",POA,"Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","The 28.27m/92'9"" 'L'Esperance' open yacht built by the Italian shipyard Mangusta is available for charter for up to 7 guests in 3 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
LITTLE ZOE,Open Yachts,10,4,4,,28.27m / 92'9,Mangusta Mangusta,2005 | 2020 (Refitted),25 Knots,6.6m / 21'8,1.82m / 6',130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€43,500 p/week + expenses Approx $49,500","€48,000 p/week + expenses Approx $54,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€43,500 p/week + expenses Approx $49,500","€48,000 p/week + expenses Approx $54,500",,,"The 28.27m/92'9"" 'Little Zoe' open yacht built by the Italian shipyard Mangusta is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
