,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
2730,QUEEN ATLANTIS,Gulet Yachts,16.0,8.0,4.0,"2 VIP, 4 Double, 2 Twin",36m / 118'1,Custom Custom,2014,10 Knots,8.4m / 27'7,-,,Custom,,,"€42,000 p/week + expenses Approx $48,000","€49,000 p/week + expenses Approx $56,000","Mediterranean, Turkey",,"€35,000 p/week + expenses Approx $40,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Turkey",,"The 36m/118'1"" gulet yacht 'Queen Atlantis' by shipyard Custom offers flexible accommodation for up to 16 guests in 8 cabins.",
2731,QUEEN ELEGANZA,Motor Yachts,34.0,17.0,10.0,"7 Double, 11 Twin",49m / 160'9,Radez Radez,2018 | 2024 (Refitted),12 Knots,8.75m / 28'8,2.5m / 8'2,498 GT,Custom Custom,,,"€90,000 p/week + expenses Approx $105,000","€90,000 p/week + expenses Approx $105,000","Mediterranean, Croatia,, Montenegro",,,,,,The 49m (161ft) supremely elegant superyacht QUEEN ELEGANZA was built in 2018 by Radež.,
2732,QUEEN LILA,Gulet Yachts,12.0,6.0,5.0,"2 Master, 2 Double, 2 Twin",30m / 98'5,Fethiye Shipyard Fethiye Shipyard,2004 | 2016 (Refitted),9 Knots,7m / 23',3.1m / 10'2,,Custom,,,"€16,500 p/week + expenses Approx $19,500","€20,250 p/week + expenses Approx $23,500","Mediterranean, Turkey",,"€16,500 p/week + expenses Approx $19,500","€20,250 p/week + expenses Approx $23,500","Mediterranean, Turkey",,"The 30m/98'5"" 'Queen Lila' gulet yacht built by Fethiye Shipyard is available for charter for up to 12 guests in 6 cabins.",
2733,QUEEN MARE,Motor Yachts,12.0,6.0,12.0,"1 Master, 1 VIP, 3 Double, 1 Twin",57.99m / 190'3,Alpha Marine Alpha Marine,2012 | 2021 (Refitted),12 Knots,10m / 32'10,2.4m / 7'10,490 GT,Custom Custom,Tasel Form,Halit Yukay,"€220,000 p/week + expenses Approx $255,500","€270,000 p/week + expenses Approx $313,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€200,000 p/week + expenses Approx $232,500","€240,000 p/week + expenses Approx $279,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","The 58m/190'3"" motor yacht 'Queen Mare' by shipyard Alpha Marine offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Halit Yukay.",
2734,QUEEN MARTINA,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",26.76m / 87'10,Sanlorenzo Sanlorenzo,2024,20 Knots,6.35m / 20'10,1.9m / 6'3,113 GT,SL86 SL86,Officina Italiana Design,Officina Italiana Design,"€75,000 p/week + expenses Approx $87,500","€85,000 p/week + expenses Approx $99,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€75,000 p/week + expenses Approx $87,500","€85,000 p/week + expenses Approx $99,500","Mediterranean, Monaco","Calvi, Corsica, Sardinia","The 26.76m/87'10"" motor yacht 'Queen Martina' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by Italian designer Officina Italiana Design she can comfortably accommodate up to 8 guests in 4 cabins.",
2735,QUEEN MIRI,Motor Yachts,36.0,18.0,36.0,"1 Master, 2 VIP, 7 Double, 8 Twin",92m / 301'10,Neorion Neorion,2004 | 2023 (Refitted),15 Knots,14.4m / 47'3,4.2m / 13'9,"3,367 GT",Custom Custom,"Alpha Marine, Lally Poulias",Massari Design,"€1,825,000 p/week + expenses Approx $2,080,500","€1,825,000 p/week + expenses Approx $2,080,500",,,"€990,000 p/week + expenses Approx $1,128,500","€1,200,000 p/week + expenses Approx $1,368,000","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,The splendid 92m (302ft) motor yacht QUEEN MIRI was built in 2004 by Neorion and last refitted in 2016 by Amico. Her artfully elegant interiors are helmed by the revered Studio Massari and her sleek silhouette is penned by Alpha Marine.,
2736,QUEEN OF DATCA,Gulet Yachts,10.0,5.0,6.0,"2 Master, 1 Double, 2 Twin",35.99m / 118'1,Yener Yener,2009 | 2021 (Refitted),10 Knots,8m / 26'3,4.5m / 14'9,147 GT,Custom Custom,Ava Yacht Design Co. Ltd.,,"€42,000 p/week + expenses Approx $48,000","€56,000 p/week + expenses Approx $64,000","Mediterranean, Greece",Mykonos,"€42,000 p/week + expenses Approx $48,000","€56,000 p/week + expenses Approx $64,000","Mediterranean, Greece,, Turkey",Mykonos,"The 36m/118'1"" 'Queen of Datca' gulet yacht built by shipyard Yener is available for charter for up to 10 guests in 5 cabins.",
2737,QUEEN OF KARIA,Gulet Yachts,12.0,5.0,6.0,"1 Master, 2 VIP, 2 Twin",35m / 114'10,Medyat Medyat,2004 | 2007 (Refitted),12 Knots,8m / 26'3,3m / 9'10,181 GT,Custom Custom,,,"€34,000 p/week + expenses Approx $39,000","€39,000 p/week + expenses Approx $44,500",,"Ibiza, The Balearics","$22,400 p/week + expenses","$26,600 p/week + expenses",,,"The 35m/114'10"" gulet yacht 'Queen Of Karia' by shipyard Medyat offers flexible accommodation for up to 12 guests in 5 cabins.",
2738,QUEEN OF MAKRI,Gulet Yachts,12.0,6.0,6.0,"2 Master, 3 VIP, 1 Twin",37.2m / 122'1,Custom Custom,2021,10 Knots,8.2m / 26'11,3.8m / 12'6,224 GT,Custom,,,"€53,500 p/week + expenses Approx $62,000","€59,500 p/week + expenses Approx $69,000","Mediterranean, Turkey",,"€42,000 p/week + expenses Approx $48,500","€53,500 p/week + expenses Approx $62,000","Mediterranean, Turkey",,"The 37.2m/122'1"" 'Queen of Makri' gulet yacht built by shipyard Custom is available for charter for up to 12 guests in 6 cabins.",
2739,QUEEN OF RTT,Gulet Yachts,16.0,8.0,6.0,,26.35m / 86'5,Custom Custom,2004 | 2021 (Refitted),10 Knots,7.3m / 23'11,3.64m / 11'11,112 GT,Custom,,,,,,,,,,,"The 26.35m/86'5"" gulet yacht 'Queen Of RTT' by shipyard Custom offers flexible accommodation for up to 16 guests in 8 cabins.",
2740,QUEEN OF SALMAKIS,Gulet Yachts,18.0,8.0,7.0,"1 Master, 1 VIP, 4 Double, 2 Triple",40m / 131'3,Neta Marine Neta Marine,2019,8 Knots,8.5m / 27'11,3.37m / 11'1,73 GT,Custom,Salmakis Yachting,Salmakis Yachting,"€38,500 p/week + expenses Approx $44,500","€74,000 p/week + expenses Approx $85,500","Mediterranean, Greece,, Turkey",Mykonos,"€38,500 p/week + expenses Approx $44,500","€38,500 p/week + expenses Approx $44,500","Mediterranean, Turkey",,"The 40m/131'3"" 'Queen of Salmakis' gulet yacht built by shipyard Neta Marine is available for charter for up to 18 guests in 8 cabins. This  yacht  features interior styling by Salmakis Yachting.",
2741,QUEEN OF SEA,Gulet Yachts,10.0,5.0,5.0,"1 Master, 1 VIP, 2 Double, 1 Twin",26.1m / 85'8,Yener Yener,2007 | 2022 (Refitted),10 Knots,7.4m / 24'3,2.7m / 8'10,90 GT,Custom,,,"€16,800 p/week + expenses Approx $19,000","€28,000 p/week + expenses Approx $32,000","Mediterranean, Turkey",,,,,,"The 26.1m/85'8"" 'Queen of Sea' gulet yacht built by shipyard Yener is available for charter for up to 10 guests in 5 cabins.",
2742,QUEEN OF SHEBA,Motor Yachts,10.0,5.0,6.0,"1 Master, 2 Double, 2 Twin",34m / 111'7,Custom Line Custom Line,2006 | 2018 (Refitted),22 Knots,7.08m / 23'3,1.75m / 5'9,213 GT,Custom Line 112 Custom Line 112,Zuccon,Zuccon,"€85,000 p/week + expenses Approx $99,000","€85,000 p/week + expenses Approx $99,000",,,"€85,000 p/week + expenses Approx $99,000","€85,000 p/week + expenses Approx $99,000",,,"The 34m/111'7"" motor yacht 'Queen of Sheba' by the Italian shipyard Custom Line offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Zuccon.",
2743,QUEEN SOUTH,Motor Yachts,10.0,4.0,5.0,"1 Master, 1 VIP, 2 Twin",30.99m / 101'8,Versilcraft Versilcraft,1988 | 2009 (Refitted),18 Knots,6.1m / 20',1.8m / 5'11,140 GT,Custom,,,"€36,000 p/week + expenses Approx $41,000","€36,000 p/week + expenses Approx $41,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€36,000 p/week + expenses Approx $41,000","€36,000 p/week + expenses Approx $41,000","Mediterranean, France,, Monaco","Corsica, French Riviera",The 30.48m/100' motor yacht 'Queen South' by shipyard Versilcraft offers flexible accommodation for up to 10 guests in 4 cabins.,
2744,QUEEN SOUTH III,Gulet Yachts,8.0,4.0,5.0,"1 Master, 1 VIP, 2 Twin, 1 Pullman",35.97m / 118',"Tuzla Shipyard, Tuzla Shipyard, Cihan Marine Cihan Marine",1999 | 2013 (Refitted),9 Knots,7.3m / 23'11,3.4m / 11'2,132 GT,Custom,,,,,,,"$43,900 p/week + expenses","$48,500 p/week + expenses","Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 36m/118'1"" 'Queen South III' gulet yacht built by Tuzla Shipyard is available for charter for up to 8 guests in 4 cabins.",
2745,QUEST R,Motor Yachts,12.0,5.0,7.0,"1 Master, 2 Double, 2 Twin, 2 Pullman",37m / 121'5,Benetti Benetti,2008 | 2018 (Refitted),12 Knots,8.1m / 26'7,1.95m / 6'5,299 GT,Classic 120' Classic 120',Stefano Righini,Kate Bingham Interior Design,"€95,000 p/week + expenses Approx $108,500","€105,000 p/week + expenses Approx $119,500","Mediterranean, Croatia,, Montenegro,, Turkey",,"€95,000 p/week + expenses Approx $108,500","€105,000 p/week + expenses Approx $119,500",,,"The 36.6m/120'1"" 'Quest R' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Kate Bingham Interior Design.",
2746,QUESTA VITA,Gulet Yachts,12.0,6.0,5.0,,32.8m / 107'7,Custom Custom,2021,12 Knots,8.65m / 28'5,2.71m / 8'11,250 GT,Custom,,,"€18,750 p/week + expenses Approx $21,500","€31,250 p/week + expenses Approx $35,500","Mediterranean, Turkey",,"€18,750 p/week + expenses Approx $21,500","€31,250 p/week + expenses Approx $35,500","Mediterranean, Turkey",,"The 33m/108'3"" 'Questa Vita' gulet yacht built by shipyard Custom is available for charter for up to 12 guests in 6 cabins.",
2747,QUID PRO QUO,Motor Yachts,10.0,5.0,6.0,"1 Master, 1 VIP, 3 Twin",30.2m / 99'1,Benetti Benetti,2007,11.5 Knots,7.15m / 23'5,1.79m / 5'10,193 GT,Tradition 100' Tradition 100',Stefano Righini,Michel Sagbini,"€55,000 p/week + expenses Approx $62,500","€59,500 p/week + expenses Approx $68,000",,,"€55,000 p/week + expenses Approx $62,500","€59,500 p/week + expenses Approx $68,000",,,"The 30.2m/99'1"" motor yacht 'Quid Pro Quo' by the Italian shipyard Benetti offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Michel Sagbini.",
2748,QUINTA ESSENTIA,Motor Yachts,12.0,6.0,13.0,"1 Master, 1 VIP, 4 Double, 2 Convertible",55m / 180'5,Admiral Yachts Admiral Yachts,2016 | 2022 (Refitted),12 Knots,10.2m / 33'6,2.45m / 8',851 GT,Custom,Dobroserdov Design,Michela Reverberi,"€320,000 p/week + expenses Approx $365,000","€360,000 p/week + expenses Approx $410,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","€320,000 p/week + expenses Approx $365,000","€320,000 p/week + expenses Approx $365,000","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 55m/180'5"" 'Quinta Essentia' motor yacht built by the Italian shipyard Admiral Yachts is available for charter for up to 12 guests in 6 cabins. This award winning  yacht  features interior styling by Italian designer Michela Reverberi.",
2749,QUIXOTE,Sailing Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 1 Double, 1 Twin",26.5m / 86'11,Cheoy Lee Cheoy Lee,1989 | 1998 (Refitted),8 Knots,6.7m / 22',2.3m / 7'7,,Custom,Cheoy Lee,,"$16,500 p/week + expenses","$20,000 p/week + expenses",,New England,"$16,500 p/week + expenses","$20,000 p/week + expenses",Caribbean,Virgin Islands,"The 26.5m/86'11"" 'Quixote' sail yacht built by the Chinese shipyard Cheoy Lee is available for charter for up to 8 guests in 4 cabins.",
2750,QUO VADIS,Motor Yachts,8.0,4.0,4.0,"1 Master, 2 Double, 1 Twin",27.3m / 89'7,Maiora Maiora,2009,22 Knots,6.3m / 20'8,1.7m / 5'7,85 GT,Maiora 27 Maiora 27,,,"€44,000 p/week + expenses Approx $51,000","€46,000 p/week + expenses Approx $53,500",,"Ibiza, The Balearics","€44,000 p/week + expenses Approx $51,000","€46,000 p/week + expenses Approx $53,500",,"Ibiza, The Balearics","The 27.3m/89'7"" motor yacht 'Quo Vadis' by the Italian shipyard Maiora offers flexible accommodation for up to 8 guests in 4 cabins.",
2751,QUO VADIS I,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",23.45m / 76'11,Ferretti Yachts Ferretti Yachts,2003 | 2019 (Refitted),20 Knots,5.9m / 19'4,1.7m / 5'7,97 GT,Custom,Zuccon,Marty Lowe,"€28,000 p/week + expenses Approx $32,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Croatia,, Montenegro",,"€24,000 p/week + expenses Approx $27,500","€26,000 p/week + expenses Approx $29,500","Mediterranean, Croatia,, Montenegro",,"The 23.4m/76'9"" motor yacht 'Quo Vadis I' by the Italian shipyard Ferretti Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by American designer Marty Lowe.",
2752,R.M.F,Motor Yachts,10.0,5.0,9.0,"1 Master, 2 Double, 2 Twin",52m / 170'7,Sanlorenzo Sanlorenzo,2022,12 Knots,9.35m / 30'8,2.9m / 9'6,499 GT,52Steel 52Steel,Officina Italiana Design,Officina Italiana Design,"€294,000 p/week + expenses Approx $341,500","€336,000 p/week + expenses Approx $390,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€294,000 p/week + expenses Approx $341,500","€336,000 p/week + expenses Approx $390,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 52m/170'7"" 'R.M.F' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Officina Italiana Design.",
2753,R23,Motor Yachts,12.0,6.0,11.0,"1 Master, 1 VIP, 2 Double, 2 Twin",47.4m / 155'6,AMTEC AMTEC,2002 | 2019 (Refitted),12 Knots,8.33m / 27'4,2.35m / 7'9,456 GT,Custom,Soyaslan Marine,,"€170,000 p/week + expenses Approx $194,000","€185,000 p/week + expenses Approx $211,000","Mediterranean, Italy","Amalfi Coast, Sardinia","€170,000 p/week + expenses Approx $194,000","€185,000 p/week + expenses Approx $211,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 47m/154'2"" 'R23' motor yacht built by shipyard AMTEC is available for charter for up to 12 guests in 6 cabins.",
2754,RADIANCE,Sailing Yachts,7.0,4.0,5.0,"1 Master, 1 Double, 2 Twin",37.01m / 121'5,Bayaco Bayaco,2010 | 2022 (Refitted),10.5 Knots,8.38m / 27'6,3.75m / 12'4,160 GT,Custom Custom,Dubois,Dubois,"$89,500 p/week + expenses","$89,500 p/week + expenses","South Pacific, Australia,, Fiji,, French Polynesia,, New Caledonia,, New Zealand,, Papua New Guinea","Sydney, Whitsundays","$89,500 p/week + expenses","$99,500 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts, Central America, Belize,, Costa Rica",Virgin Islands,"The 37m/121'5"" sail yacht 'Radiance' by shipyard Bayaco offers flexible accommodation for up to 7 guests in 4 cabins and features interior styling by British designer Dubois.",
2755,RAGNAR DANNESKJOLD,Open Yachts,,4.0,2.0,"1 Master, 1 VIP, 2 Twin",24m / 78'9,Royal Denship Royal Denship,2006 | 2011 (Refitted),32 Knots,6.4m / 21',1.52m / 5',,Royal Denship 82 Royal Denship 82,,,"$23,000 p/week + expenses","$23,000 p/week + expenses","Caribbean, Bahamas",,"$23,000 p/week + expenses","$23,000 p/week + expenses","Caribbean, Bahamas",,The 24.99m/82' open yacht 'Ragnar Danneskjold' by the Danish shipyard Royal Denship offers flexible accommodation for up to 8 guests in 4 cabins.,
2756,RAINBOW,Classic Yachts,6.0,3.0,8.0,"1 Master, 1 Double, 2 Twin, 2 Pullman",39.95m / 131'1,Holland Jachtbouw Holland Jachtbouw,2012 | 2024 (Refitted),9 Knots,6.42m / 21'1,4.9m / 16'1,94 GT,Custom,Dykstra Naval Architects,deVosdeVries design,"€58,000 p/week + expenses Approx $68,000","€62,000 p/week + expenses Approx $72,500",,,"$58,000 p/week + expenses","$62,000 p/week + expenses",,,"The multi-award winning 39.89m/130'10"" classic yacht 'Rainbow' by the Dutch shipyard Holland Jachtbouw offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by deVosdeVries design.",
2757,RAJA LAUT,Gulet Yachts,12.0,6.0,7.0,"1 Master, 2 Double, 3 Bunk Cabin",30.78m / 101',Georges E.K. Carraz Georges E.K. Carraz,2005 | 2010 (Refitted),10 Knots,7.2m / 23'7,3m / 9'10,115 GT,Custom Custom,Bosgraaf Yacht Design,,"$24,500 p/week + expenses","$27,000 p/week + expenses","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","$24,500 p/week + expenses","$27,000 p/week + expenses",,,"The 31m/101'8"" 'Raja Laut' gulet yacht built by shipyard Georges E.K. Carraz is available for charter for up to 12 guests in 6 cabins.",
2758,RAJA²,Motor Yachts,12.0,6.0,12.0,"1 Master, 1 VIP, 2 Double, 2 Twin",55.2m / 181'1,Admiral Yachts Admiral Yachts,2025,16 Knots,8.6m / 28'3,2.35m / 7'9,499 GT,S-Force 55 S-Force 55,Admiral Yachts,Gian Marco Companino Design,"€330,000 p/week + expenses Approx $387,500","€370,000 p/week + expenses Approx $434,500","Mediterranean, Croatia,, Greece,, Montenegro,, Turkey","Mykonos, Santorini","€330,000 p/week + expenses Approx $387,500","€330,000 p/week + expenses Approx $387,500","Mediterranean, Croatia,, Greece,, Montenegro,, Turkey","Mykonos, Santorini","The 55.3m/181'5"" motor yacht 'RAJA²' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Italian shipyard Admiral Yachts  and featuring interior styling by Gian Marco Companino Design she can comfortably accommodate up to 12 guests in 6 cabins.",
2759,RAMSES II,Motor Yachts,9.0,4.0,5.0,"1 Master, 1 VIP, 2 Twin",32.21m / 105'8,Leopard Leopard,2006 | 2022 (Refitted),26 Knots,7.35m / 24'1,1.2m / 3'11,180 GT,Leopard 32 Leopard 32,Andrea Bacigalupo,,"€60,000 p/week + expenses Approx $70,500","€69,000 p/week + expenses Approx $81,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€55,000 p/week + expenses Approx $64,500","€55,000 p/week + expenses Approx $64,500",,,"The 32.2m/105'8"" motor yacht 'Ramses II' by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins.",
2760,RANG NOI PRINCESS,Motor Yachts,8.0,4.0,4.0,"1 Master, 2 Double, 1 Twin",26.2m / 85'11,Monte Carlo Yachts Monte Carlo Yachts,2014,22 Knots,6.43m / 21'1,1.9m / 6'3,130 GT,MCY 86 MCY 86,Nuvolari Lenard,Nuvolari Lenard,"$65,000 p/week + expenses",POA,"South East Asia, Thailand",,"$65,000 p/week + expenses",POA,"South East Asia, Thailand",,"The 26.2m/85'11"" motor yacht 'Rang Noi Princess' by the Italian shipyard Monte Carlo Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Nuvolari Lenard.",
2761,RANIA,Motor Yachts,12.0,6.0,7.0,"1 Master, 3 VIP, 2 Twin",42.01m / 137'10,Benetti Benetti,2019,18 Knots,8.5m / 27'11,2.4m / 7'10,376 GT,Fast 140' Fast 140',Stefano Righini,RWD,"€180,000 p/week + expenses Approx $205,000","€190,000 p/week + expenses Approx $216,500",,,"€180,000 p/week + expenses Approx $205,000","€190,000 p/week + expenses Approx $216,500",,,"The 42m/137'10"" 'Rania' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by British designer RWD.",
2762,RAOUL W,Motor Yachts,8.0,4.0,2.0,"1 Master, 2 Double, 1 Twin",22.98m / 75'5,Sunseeker Sunseeker,2015,15 Knots,5.73m / 18'10,1.63m / 5'4,,75 Yacht 75 Yacht,,,"€35,700 p/week + expenses Approx $40,500","€39,900 p/week + expenses Approx $45,500",,"Ibiza, The Balearics","€26,600 p/week + expenses Approx $30,500","€32,900 p/week + expenses Approx $37,500",,"Ibiza, The Balearics","The 22.98m/75'5"" motor yacht 'RAOUL W' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins.",
2763,RAPH SEVEN,Motor Yachts,10.0,5.0,6.0,"1 Master, 3 Double, 1 Single",36.58m / 120',Sanlorenzo Sanlorenzo,2023,23 Knots,7.6m / 24'11,2.25m / 7'5,280 GT,SL120 Asymmetric SL120 Asymmetric,Zuccon,Zuccon,"€140,000 p/week + expenses Approx $162,500","€155,000 p/week + expenses Approx $180,000","Mediterranean, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez",,,,,"The 36.92m/121'2"" motor yacht 'Raph Seven' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by Italian designer Zuccon she can comfortably accommodate up to 10 guests in 5 cabins.",
2764,RAPH SEVEN II,Motor Yachts,10.0,5.0,4.0,"1 Master, 3 Double, 1 Single, 1 Pullman",29.9m / 98'1,Riva Riva,2018,19 Knots,6.7m / 22',2.26m / 7'5,"100,000 GT",100' Corsaro 100' Corsaro,Officina Italiana Design,Officina Italiana Design,"€100,000 p/week + expenses Approx $115,000","€110,000 p/week + expenses Approx $126,500","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez",,,,,"The 29.9m/98'1"" 'Raph Seven II' motor yacht built by the Italian shipyard Riva is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Officina Italiana Design.",
2765,RARA AVIS,Gulet Yachts,12.0,8.0,6.0,"1 Master, 1 VIP, 2 Double, 2 Twin",33m / 108'3,Kolotura Kolotura,2018,10 Knots,8.42m / 27'7,2.44m / 8',230 GT,Custom,Kolotura,,"€60,000 p/week + expenses Approx $68,500","€60,000 p/week + expenses Approx $68,500","Mediterranean, Croatia,, Montenegro",,"€38,000 p/week + expenses Approx $43,500","€38,000 p/week + expenses Approx $43,500",,,The 32.3m/106' gulet yacht 'Rara Avis' by shipyard Kolotura offers flexible accommodation for up to 12 guests in 8 cabins.,
2766,RARE DIAMOND,Motor Yachts,11.0,5.0,6.0,"1 Master, 2 VIP, 2 Twin",32.31m / 106',Sanlorenzo Sanlorenzo,2011 | 2023 (Refitted),19 Knots,7.05m / 23'2,1.83m / 6',199 GT,SL104 SL104,Sanlorenzo,Della Role Design,"€80,000 p/week + expenses Approx $91,000","€90,000 p/week + expenses Approx $102,500","Mediterranean, Greece,, Turkey",Mykonos,"€70,000 p/week + expenses Approx $80,000","€70,000 p/week + expenses Approx $80,000","Mediterranean, Greece",Mykonos,The 31.7m/104' motor yacht 'Rare Diamond' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 11 guests in 5 cabins and features interior styling by Italian designer Della Role Design.,
2767,RARE FIND,Motor Yachts,12.0,6.0,12.0,"1 Master, 3 Double, 2 Twin",54.7m / 179'6,Turquoise Yachts Turquoise Yachts,2009 | 2023 (Refitted),13 Knots,9.3m / 30'6,3.1m / 10'2,710 GT,Custom Custom,Dubois,H2 Yacht Design,"€220,000 p/week + expenses Approx $251,000","€280,000 p/week + expenses Approx $319,000","Mediterranean, Croatia,, Greece,, Montenegro,, Turkey",Mykonos,"€260,000 p/week + expenses Approx $296,500","€260,000 p/week + expenses Approx $296,500","Mediterranean, Croatia,, Greece,, Montenegro,, Turkey",Mykonos,"The 54.7m/179'6"" 'Rare Find' motor yacht built by the Turkish shipyard Turquoise Yachts is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by English designer H2 Yacht Design.",
2768,RARE GEM,Motor Yachts,11.0,5.0,5.0,"1 Master, 2 VIP, 2 Twin",28.5m / 93'6,Custom Line Custom Line,2022,10 Knots,7.31m / 24',2.2m / 7'3,170 GT,Navetta 30 Navetta 30,Filippo Salvetti,Antonio Citterio Patricia Viel,"€90,000 p/week + expenses Approx $103,000","€95,000 p/week + expenses Approx $109,000","Mediterranean, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez","€90,000 p/week + expenses Approx $103,000","€95,000 p/week + expenses Approx $109,000","Mediterranean, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez","The 28.43m/93'3"" 'Rare Gem' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 11 guests in 5 cabins. This  yacht  features interior styling by Italian designer Antonio Citterio Patricia Viel.",
2769,RASCAL,Motor Yachts,10.0,5.0,5.0,"1 Master, 2 Double, 2 Twin",34.6m / 113'6,Sunseeker Sunseeker,2015 | 2022 (Refitted),12 Knots,7.39m / 24'3,2.5m / 8'2,236 GT,115 Sport Yacht 115 Sport Yacht,Sunseeker,Sunseeker,"A$150,000 p/week + expenses Approx $99,000","A$150,000 p/week + expenses Approx $99,000","South Pacific, Australia","Sydney, Whitsundays","A$150,000 p/week + expenses Approx $99,000","A$150,000 p/week + expenses Approx $99,000","South Pacific, Australia","Sydney, Whitsundays","The 34.53m/113'3"" motor yacht 'Rascal' by the British shipyard Sunseeker offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by British designer Sunseeker.",
2770,RAVEN,Sailing Yachts,6.0,4.0,4.0,"1 Master, 1 Double, 1 Twin, 1 Pullman",24m / 78'9,Oyster Yachts Oyster Yachts,2012,9 Knots,6.32m / 20'9,3.29m / 10'10,71 GT,Oyster 82 Oyster 82,Rob Humphreys,Oyster Yachts,,,,,,,,,The 24.99m/82' 'Raven' sail yacht built by shipyard Oyster Yachts is available for charter for up to 6 guests in 4 cabins. This  yacht  features interior styling by Oyster Yachts.,
2771,RAVENCLAW,Sailing Yachts,6.0,3.0,3.0,"1 Master, 2 Twin, 2 Pullman",24.99m / 82',Oyster Yachts Oyster Yachts,2007 | 2022 (Refitted),9 Knots,6.32m / 20'9,2.93m / 9'7,71 GT,Oyster 82 Oyster 82,Rob Humphreys,Oyster Yachts,"$30,000 p/week + expenses","$30,000 p/week + expenses",,New England,"$30,000 p/week + expenses","$30,000 p/week + expenses",,,The 24.99m/82' 'Ravenclaw' sail yacht built by shipyard Oyster Yachts is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Oyster Yachts.,
